...Mass Properties...
14 Num Comps
13 Total Num Meshes
40512 Total Num Tris

7.881915284987734e+04             Total Mass
3.599556759590418e+01 -5.540130923158147e-04 -4.804688696740172e-01       Center of Gravity
3.205977023551632e+07 2.272825535662856e+07 5.463132014579119e+07       Ixx, Iyy, Izz
-1.773387639035461e+03 -3.743597654113245e+05 6.441178485006103e+02       Ixy, Ixz, Iyz
1.360383056997547e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
2.856105797108801e+01	1.282999846728170e+04	2.713715551812224e+01	1.375726430859160e-05	-1.063377236275513e-01	2.002273470271782e+05	4.702620291451770e+04	1.811225855831922e+05	-2.017922631753174e+02	-3.920602983357552e+02	1.333208779244841e+02	2.565999693456379e+02
2.913029668230969e+01	1.501305607442088e+04	2.742697938602866e+01	1.175681214867555e-05	-1.093670737218339e-01	2.377600543570449e+05	6.057324309799051e+04	2.202257460483290e+05	-2.365278373154963e+02	-4.706997822880030e+02	1.560354269207492e+02	3.002611214884221e+02
2.969953539353138e+01	1.719611368156005e+04	2.771548182161980e+01	1.026427734564198e-05	-1.116272679602672e-01	2.752932427112101e+05	7.655182402716066e+04	2.617613544148630e+05	-2.712482907974206e+02	-5.489912208477707e+02	1.787457297757984e+02	3.439222736312062e+02
3.026877410475307e+01	1.929743079187125e+04	2.799351244756380e+01	9.264740183405973e-06	-1.110872189275298e-01	3.091962569022926e+05	9.458327244369709e+04	3.023314436331770e+05	-3.048196628400574e+02	-5.264145366092329e+02	2.006597400072490e+02	3.859486158374311e+02
3.083801281597475e+01	2.086270918935297e+04	2.820692840125863e+01	9.888293432546850e-06	-1.057051753607945e-01	3.268332955561530e+05	1.098621980680128e+05	3.283303551379447e+05	-3.289207223375830e+02	-2.318001313733841e+02	2.171218595144501e+02	4.172541837870657e+02
3.140725152719644e+01	2.155267988001537e+04	2.830938105075922e+01	1.487434738681183e-05	-1.024910866155854e-01	3.302033764947930e+05	1.174866184435392e+05	3.378501673987739e+05	-3.369702813687147e+02	-1.748835314535171e+01	2.242737905943096e+02	4.310535976003135e+02
3.197649023841812e+01	2.155267988001537e+04	2.830938105075922e+01	1.487434738681183e-05	-1.024910866155854e-01	3.302033764947930e+05	1.174866184435392e+05	3.378501673987739e+05	-3.369702813687147e+02	-1.748835314535171e+01	2.242737905943096e+02	4.310535976003135e+02
3.254572894963981e+01	2.155267988001537e+04	2.830938105075922e+01	1.487434738681183e-05	-1.024910866155854e-01	3.302033764947930e+05	1.174866184435392e+05	3.378501673987739e+05	-3.369702813687147e+02	-1.748835314535171e+01	2.242737905943096e+02	4.310535976003135e+02
3.311496766086150e+01	2.155340798685343e+04	2.830954339076939e+01	1.487384490877918e-05	-1.025133276399559e-01	3.302336401608809e+05	1.175037980312938e+05	3.378969779528125e+05	-3.369701471035195e+02	-1.979197386763353e+01	2.242737895283215e+02	4.310681597370747e+02
3.368420637208318e+01	2.157695297265294e+04	2.831540827649875e+01	1.485761442120349e-05	-1.032317325178099e-01	3.312155348578332e+05	1.181957628266074e+05	3.395488904999343e+05	-3.370215878519437e+02	-1.030199122525335e+02	2.242799505691008e+02	4.315390594530650e+02
