...Mass Properties...
12 Num Comps
10 Total Num Meshes
48320 Total Num Tris

8.440807431615370e+04             Total Mass
4.258583573887024e+01 -5.590264695196078e-08 -5.203008942630564e-01       Center of Gravity
3.308628566809737e+07 1.156985074713827e+07 4.453056515405548e+07       Ixx, Iyy, Izz
-7.028785261588204e+02 -2.185114630034329e+05 4.910053461337135e+02       Ixy, Ixz, Iyz
1.217793114987516e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
4.944137035286678e+01	3.945912139300486e+04	4.322413348116194e+01	-1.449534551575033e-07	-7.992987200392082e-01	1.314418336949234e+07	8.715911420709552e+05	1.393866781053752e+07	-4.579852803832851e+02	-2.440240389605649e+04	3.207540632989417e+02	7.891824278601190e+02
4.990613774248015e+01	4.152446913605020e+04	4.355648360404784e+01	-1.377437356462593e-07	-7.920684506846897e-01	1.512204225076434e+07	9.598074138422251e+05	1.600375517534316e+07	-4.830954347948865e+02	-2.249682392634135e+04	3.372261264558591e+02	8.304893827210251e+02
5.037090513209353e+01	4.355963077335202e+04	4.387486208954161e+01	-1.313081625965599e-07	-7.831494839484275e-01	1.724806030880180e+07	1.050493065237336e+06	1.821945084077149e+07	-5.080520863531646e+02	-1.997385308125829e+04	3.534040001087126e+02	8.711926154670609e+02
5.083567252170690e+01	4.552892486919038e+04	4.417594284042032e+01	-1.256285911369856e-07	-7.730623129689305e-01	1.947367313930067e+07	1.142379528435486e+06	2.053593604075236e+07	-5.319459786407460e+02	-1.691607621321758e+04	3.690438385994869e+02	9.105784973838278e+02
5.130043991132028e+01	4.735582909403137e+04	4.445079335085811e+01	-1.207820531773281e-07	-7.630716967438944e-01	2.162629610211697e+07	1.232081454538393e+06	2.277732840595255e+07	-5.535600354197437e+02	-1.367609213587367e+04	3.834291192051190e+02	9.471165818806478e+02
5.176520730093365e+01	4.891247450477773e+04	4.468357545855078e+01	-1.169381449524482e-07	-7.526719387025396e-01	2.365386014187237e+07	1.313193692065224e+06	2.488518250860909e+07	-5.715499619787304e+02	-1.007440024349722e+04	3.959973693694567e+02	9.782494900955764e+02
5.222997469054702e+01	5.020170680740255e+04	4.487737487847328e+01	-1.156924195616397e-07	-7.424806277287344e-01	2.551383296667433e+07	1.385153360165803e+06	2.681637949474772e+07	-5.860934112614555e+02	-6.313113099133787e+03	4.062004704697143e+02	1.004034136148074e+03
5.269474208016040e+01	5.124090163436211e+04	4.503591556174240e+01	-1.133461077823891e-07	-7.330346182385804e-01	2.716686520295322e+07	1.447749399977859e+06	2.853134627530864e+07	-5.977888451457810e+02	-2.606440430597902e+03	4.143839783081492e+02	1.024818032687266e+03
5.315950946977377e+01	5.204935816888004e+04	4.516209526519638e+01	-1.118842113006556e-07	-7.247352254112408e-01	2.857834733846465e+07	1.500603329416577e+06	2.999509444187058e+07	-6.064391287280782e+02	8.479877548426637e+02	4.207321265568464e+02	1.040987163377625e+03
5.362427685938714e+01	5.264815882442297e+04	4.525834098392747e+01	-8.848029849577986e-08	-7.178770936217950e-01	2.972037592817961e+07	1.543274259478645e+06	3.117928906511236e+07	-6.127283831364789e+02	3.868461692827740e+03	4.254428114444719e+02	1.052963176488484e+03
5.408904424900052e+01	5.306164432513571e+04	4.532715467803070e+01	-8.779081208738214e-08	-7.126378650439665e-01	3.057847134355474e+07	1.575489619861876e+06	3.206919209751615e+07	-6.169164433867182e+02	6.304150421929754e+03	4.284896525412061e+02	1.061232886502739e+03
5.455381163861389e+01	5.331770626501706e+04	4.537146633067764e+01	-8.736919151080809e-08	-7.090707321185574e-01	3.115516462435228e+07	1.597343567650073e+06	3.266744281574360e+07	-6.192710335862865e+02	8.050475498671444e+03	4.304368502760076e+02	1.066354125300366e+03
